カテゴリー,銘柄名,証券コード,時価総額,PER,PBR,配当利回り,業績推移(直近),アナリスト,企業の特徴,株探リンク,AI評価
1. AI開発・導入,セック,3741,30.6億円,21.7倍,3.08倍,187.00%,売上+5.9%/益-42.3%,-,システム開発。リアルタイムソフトウエア技術に強み。モバイル決済や宇宙、ロボット関連など。,https://kabutan.jp/stock/?code=3741,期待上昇率: +24% (勝率: 53%)
1. AI開発・導入,マクニカHD,3132,471.0億円,22.8倍,1.78倍,265.00%,売上+19.0%/益-0.7%,-,独立系半導体商社で国内大手。技術開発に強み。AI分野、セキュリティ製品も。,https://kabutan.jp/stock/?code=3132,期待上昇率: +23% (勝率: 51%)
1. AI開発・導入,エクサウィザーズ,4259,68.4億円,221.6倍,16.04倍,0.00%,売上+22.6%,強気買い,AI、DXを利活用したサービス導入・運営を支援。AIの開発にも積極。,https://kabutan.jp/stock/?code=4259,期待上昇率: +38% (勝率: 83%)
1. AI開発・導入,SRE HD,2980,57.4億円,54.1倍,3.83倍,50.00%,売上+122.5%,-,ITテクノロジーとAI技術を基盤とした不動産事業。金融機関向けソリューション事業。,https://kabutan.jp/stock/?code=2980,期待上昇率: +30% (勝率: 60%)
1. AI開発・導入,ABEJA,5574,24.8億円,47.9倍,5.03倍,0.00%,売上+11.0%/益-3.6%,-,企業のDXを支援。AIによるデジタルプラットフォーム事業の運営を手掛ける。,https://kabutan.jp/stock/?code=5574,期待上昇率: +24% (勝率: 53%)
1. AI開発・導入,ヘッドウォータース,4011,8.6億円,161.1倍,6.44倍,0.00%,売上+46.5%/益-90.2%,-,企業の経営課題をAIシステム開発を通して解決するソリューション事業。保守運用も。,https://kabutan.jp/stock/?code=4011,期待上昇率: +22% (勝率: 49%)
2. センシングなど独自技術,村田製作所,6981,8.8兆円,47.4倍,3.40倍,124.00%,売上+4.3%/益-64.1%,買い,積層セラミックコンデンサ世界首位。材料から一貫生産の技術力強み。海外販売大。,https://kabutan.jp/stock/?code=6981,期待上昇率: +29% (勝率: 64%)
2. センシングなど独自技術,テクノホライゾン,6629,16.9億円,139.7倍,1.60倍,159.00%,売上-4.2%/益-23.7%,-,映像・ITとロボティクス技術を核に教育、生活、医療、FA分野で応用・製品化。,https://kabutan.jp/stock/?code=6629,期待上昇率: +10% (勝率: 33%)
2. センシングなど独自技術,オプテックスG,6914,104.8億円,15.9倍,1.86倍,221.00%,売上+11.6%/益-13.5%,-,防犯用、自動ドアなど各種センサー大手。FAや画像検査用も。M&Aで海外展開。,https://kabutan.jp/stock/?code=6914,期待上昇率: +23% (勝率: 49%)
2. センシングなど独自技術,アバールデータ,6918,16.9億円,22.5倍,1.85倍,186.00%,売上-13.4%/益+1.5%,-,半導体製造装置の制御組込を受託。自社製品も。画像・計測・通信が主力。,https://kabutan.jp/stock/?code=6918,期待上昇率: +22% (勝率: 47%)
2. センシングなど独自技術,Kudan,4425,29.1億円,-227.0倍,11.33倍,0.00%,売上+210.9%/益+215.5%,-,人工知覚技術の研究開発やライセンスの提供。国内外の先端技術企業と提携。,https://kabutan.jp/stock/?code=4425,期待上昇率: +33% (勝率: 66%)
2. センシングなど独自技術,キヤノン,7751,3.6兆円,11.1倍,1.03倍,388.00%,売上+3.3%/益-28.6%,中立,OA機器総合メーカー。カメラ、事務機器で世界大手。半導体露光装置、医療機器も。,https://kabutan.jp/stock/?code=7751,期待上昇率: +17% (勝率: 46%)
2. センシングなど独自技術,キーエンス,6861,17.9兆円,39.8倍,5.32倍,75.00%,-,買い,計測制御機器大手。FA用センサーが主力。生産の大半を外注。直販体制に強み。,https://kabutan.jp/stock/?code=6861,期待上昇率: +23% (勝率: 71%)
3. ロボット本体・アーム,ファナック,6954,6.5兆円,38.3倍,3.41倍,154.00%,売上+10.6%/益+11.0%,買い,NC装置で世界トップ。産業用ロボットに強み。小型マシニングセンタも。,https://kabutan.jp/stock/?code=6954,期待上昇率: +46% (勝率: 79%)
3. ロボット本体・アーム,安川電機,6506,1.4兆円,41.2倍,3.00倍,134.00%,売上+2.0%/益-15.7%,買い,メカトロ大手。サーボモーターとインバーターで世界トップ。産業用ロボット累積出荷も首位級。,https://kabutan.jp/stock/?code=6506,期待上昇率: +33% (勝率: 67%)
3. ロボット本体・アーム,ソフトバンクG,9984,30.0兆円,9.7倍,1.92倍,21.00%,売上+8.2%,買い,投資持ち株会社。傘下に投資のビジョンファンド、通信、英半導体設計アーム。,https://kabutan.jp/stock/?code=9984,期待上昇率: +36% (勝率: 72%)
3. ロボット本体・アーム,川崎重工業,7012,2.7兆円,27.6倍,3.28倍,102.00%,-,強気買い,総合重機大手。航空宇宙、鉄道車両、大型2輪などに強み。潜水艦も製造。,https://kabutan.jp/stock/?code=7012,期待上昇率: +30% (勝率: 78%)
