カテゴリー,銘柄名,ティッカー,時価総額,業績推移(直近),アナリスト,企業の特徴,Yahoo Financeリンク,AI評価
1. AI開発・導入,パランティア,PLTR,330.7億ドル,売上+70.0%/益+647.6%,買い,ビッグデータ解析とAIプラットフォームを政府・民間向けに提供。,https://finance.yahoo.co.jp/quote/PLTR,期待上昇率: +45% (勝率: 78%)
1. AI開発・導入,C3.ai,AI,1.3億ドル,売上-46.1%,-,エンタープライズ向けAIアプリケーション構築プラットフォーム。,https://finance.yahoo.co.jp/quote/AI,期待上昇率: +10% (勝率: 48%)
1. AI開発・導入,UiPath,PATH,5.4億ドル,売上+13.6%/益+105.7%,中立,RPA（ロボティック・プロセス・オートメーション）の世界最大手。,https://finance.yahoo.co.jp/quote/PATH,期待上昇率: +34% (勝率: 59%)
1. AI開発・導入,マイクロソフト,MSFT,3.2兆ドル,売上+16.7%/益+59.8%,強気買い,クラウド基盤AzureとOpenAI連携によるAIソリューション展開。,https://finance.yahoo.co.jp/quote/MSFT,期待上昇率: +55% (勝率: 84%)
1. AI開発・導入,アルファベット,GOOGL,4.2兆ドル,売上+18.0%/益+31.1%,強気買い,AI研究の世界的リーダー、自動運転Waymoなども傘下に持つ。,https://finance.yahoo.co.jp/quote/GOOGL,期待上昇率: +54% (勝率: 88%)
1. AI開発・導入,メタ,META,1.7兆ドル,売上+23.8%/益+10.7%,強気買い,オープンソースAI（Llama）やVR/メタバース技術に注力。,https://finance.yahoo.co.jp/quote/META,期待上昇率: +50% (勝率: 83%)
2. センシングなど独自技術,コグネックス,CGNX,8.9億ドル,売上+9.9%/益+18.0%,買い,マシンビジョン（産業用画像処理システム）の世界的トップ企業。,https://finance.yahoo.co.jp/quote/CGNX,期待上昇率: +48% (勝率: 77%)
2. センシングなど独自技術,アンバレラ,AMBA,2.9億ドル,売上+20.1%,買い,AIビジョンプロセッサ。自動運転やセキュリティカメラ向け半導体。,https://finance.yahoo.co.jp/quote/AMBA,期待上昇率: +37% (勝率: 76%)
2. センシングなど独自技術,ルメンタム,LITE,61.3億ドル,売上+65.5%,買い,3Dセンシング向けレーザー（VCSEL）など光通信部品の先駆者。,https://finance.yahoo.co.jp/quote/LITE,期待上昇率: +36% (勝率: 73%)
2. センシングなど独自技術,コヒレント,COHR,57.2億ドル,売上+17.5%/益+73.0%,買い,レーザー技術と光学部品。半導体製造や各種センシングに強み。,https://finance.yahoo.co.jp/quote/COHR,期待上昇率: +45% (勝率: 80%)
2. センシングなど独自技術,オースター,OUST,1.6億ドル,売上+106.6%,-,デジタルLiDARセンサーを製造。ロボティクスや自動車向けに提供。,https://finance.yahoo.co.jp/quote/OUST,期待上昇率: +27% (勝率: 62%)
2. センシングなど独自技術,ルミナー,LAZR,-,-,-,自動運転車向けの高性能LiDAR技術とソフトウェアを開発。,https://finance.yahoo.co.jp/quote/LAZR,期待上昇率: +19% (勝率: 55%)
2. センシングなど独自技術,モービルアイ,MBLY,7.4億ドル,売上+27.4%,買い,自動運転システムとADAS（先進運転支援システム）の世界最大手。,https://finance.yahoo.co.jp/quote/MBLY,期待上昇率: +40% (勝率: 78%)
3. ロボット本体・アーム,テスラ,TSLA,1.4兆ドル,売上+15.8%/益+8.3%,買い,EV最大手。ヒト型ロボット「Optimus」や完全自動運転（FSD）を開発。,https://finance.yahoo.co.jp/quote/TSLA,期待上昇率: +45% (勝率: 79%)
3. ロボット本体・アーム,インテュイティブ・サージカル,ISRG,160.7億ドル,売上+23.0%/益+18.8%,買い,手術支援ロボット「ダヴィンチ」を開発する医療用ロボットの絶対的王者。,https://finance.yahoo.co.jp/quote/ISRG,期待上昇率: +49% (勝率: 77%)
3. ロボット本体・アーム,シンボティック,SYM,34.5億ドル,売上+29.4%,買い,AIを活用した倉庫向け自律型ロボットシステムを提供。ウォルマートと提携。,https://finance.yahoo.co.jp/quote/SYM,期待上昇率: +36% (勝率: 72%)
